Race,Sex,Age,Supervising Unit,Supervision Type,Cohort Fiscal Year,Report Fiscal Year,Supervision Start Date,Supervision End Date,Months Supervised,Supervision End Reason,Charge ID [Internal],Supervision Offense Class,Supervision Offense Type,Supervision Offense Subtype,Reincarcerated,Reincarcerated Reason,Survival Time (Days),Survival Time (Months),Reincarcerated Offense Code,Reincarcerated Offense Class,Reincarcerated Offense Type,Reincarcerated Offense Subtype,Risk Ranking
White,Male,50,Newton Correctional Facility,Prison,2021,2024,07/09/2020,12/03/2020,4,Paroled to Detainer - Iowa,20532272,D Felony,Public Order,OWI,true,New Charge,224,7.5,321J.2(2)(c),D Felony,Public Order,OWI,Low
White,Male,51,Iowa Medical & Classification Center,Prison,2021,2024,07/01/1997,07/24/2020,276,Parole Granted,503080,B Felony,Violent,Murder/Manslaughter,false,,,,,,,,
White,Male,45,Iowa Medical & Classification Center,Prison,2021,2024,11/01/2019,07/13/2020,8,Parole Granted,20484640,D Felony,Drug,Drug Possession,false,,,,,,,,Low
White,Male,47,Iowa Medical & Classification Center,Work Release,2021,2024,08/06/2020,01/29/2021,5,Discharged - Expiration of Sentence,20324470,D Felony,Public Order,Weapons,true,New Charge,944,31.5,716.4,D Felony,Property,Vandalism,High
White,Male,45,Newton Correctional Facility,Prison,2021,2024,01/12/2016,10/19/2020,57,Released to Special Sentence,20339213,C Felony,Violent,Sex,false,,,,,,,,
Black,Male,45,Anamosa State Penitentiary,Work Release,2021,2024,02/15/2021,05/10/2021,2,Discharged - Expiration of Sentence,20275985,C Felony,Property,Theft,false,,,,,,,,High
White,Male,45,Newton Correctional Facility,Prison,2021,2024,08/01/2016,07/07/2020,47,Parole Granted,20361833,C Felony,Violent,Sex,false,,,,,,,,
White,Male,45,Mount Pleasant Correctional Facility,Prison,2021,2024,01/14/2019,05/25/2021,28,Parole Granted,20511495,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,New Charge,883,29.4,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,Low
White,Male,50,Iowa Medical & Classification Center,Prison,2021,2024,02/12/2020,11/30/2020,9,Discharged - Expiration of Sentence,20544754,Aggravated Misdemeanor,Violent,Assault,true,New Charge,518,17.3,714.7,Aggravated Misdemeanor,Property,Theft,Low
White,Female,50,Iowa Correctional Institution for Women,Prison,2021,2024,10/01/2018,09/11/2020,23,Parole Granted,20391826,C Felony,Drug,Trafficking,true,Tech,1029,34.3,124.401(1)(c)(6),C Felony,Drug,Trafficking,Low
White,Female,53,Iowa Correctional Institution for Women,Prison,2021,2024,04/30/2018,07/13/2020,26,Parole Granted,20455748,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,High
White,Male,65,Newton Correctional Facility,Prison,2021,2024,10/08/2019,10/15/2020,12,Parole Granted,728221,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,High
White,Male,44,Fort Dodge Correctional Facility,Prison,2021,2024,01/29/2021,04/15/2021,2,Discharged - Expiration of Sentence,20378420,C Felony,Property,Theft,true,New Charge,712,23.7,714.2(2),D Felony,Property,Theft,High
White,Male,47,Newton Correctional Facility,Work Release,2021,2024,06/18/2020,10/07/2020,3,Parole Granted,20199629,B Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,47,North Central Correctional Facility,Prison,2021,2024,11/25/2019,09/15/2020,9,Parole Granted,20289618,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,New Charge,938,31.3,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Male,45,Mount Pleasant Correctional Facility,Work Release,2021,2024,10/22/2020,04/29/2021,6,Parole Granted,20444204,D Felony,Property,Burglary,true,New Charge,732,24.4,713.6A,D Felony,Property,Burglary,High
White,Male,49,Newton Correctional Facility,Work Release,2021,2024,01/22/2021,04/29/2021,3,Parole Granted,20035324,C Felony,Property,Theft,false,,,,,,,,Moderate
White,Female,62,Iowa Correctional Institution for Women,Prison,2021,2024,04/02/2020,10/30/2020,6,Parole Granted,20552233,Aggravated Misdemeanor,Public Order,OWI,false,,,,,,,,Low
White,Male,59,North Central Correctional Facility,Work Release,2021,2024,03/18/2021,06/24/2021,3,Parole Granted,385644,B Felony,Violent,Murder/Manslaughter,true,Tech,91,3.0,707.3,B Felony,Violent,Murder/Manslaughter,High
White,Male,72,Fort Dodge Correctional Facility,Work Release,2021,2024,08/26/2020,09/08/2020,0,Parole Granted,20509123,Aggravated Misdemeanor,Public Order,Traffic,false,,,,,,,,Moderate
White,Male,57,Newton Correctional Facility,Work Release,2021,2024,02/16/2021,04/09/2021,1,Parole Granted,20076486,B Felony,Other,Other Criminal,false,,,,,,,,High
White,Male,45,Mount Pleasant Correctional Facility,Work Release,2021,2024,09/11/2020,12/18/2020,3,Parole Granted,20060105,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,658,21.9,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,Moderate
White,Male,50,Clarinda Correctional Facility,Prison,2021,2024,05/05/2020,10/30/2020,5,Paroled to Detainer - U.S. Marshall,20409721,B Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,55,Mount Pleasant Correctional Facility,Work Release,2021,2024,01/27/2020,10/09/2020,8,Parole Granted,20346900,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,63,North Central Correctional Facility,Work Release,2021,2024,11/24/2020,03/15/2021,3,Parole Granted,20176762,B Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,64,Mount Pleasant Correctional Facility,Prison,2021,2024,07/22/2020,02/23/2021,7,Discharged - Expiration of Sentence,20519530,D Felony,Drug,Drug Possession,false,,,,,,,,High
White,Male,47,North Central Correctional Facility,Prison,2021,2024,04/26/2013,05/05/2021,96,Parole Granted,20205744,B Felony,Drug,Trafficking,true,Tech,903,30.1,124.401(1)(b)(7),B Felony,Drug,Trafficking,Low
White,Female,45,Iowa Correctional Institution for Women,Work Release,2021,2024,01/28/2021,06/29/2021,5,Parole Granted,905578,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,High
Black,Male,43,Iowa Medical & Classification Center,Prison,2021,2024,09/09/2020,05/27/2021,8,Paroled to Detainer - Iowa,20391911,C Felony,Drug,Trafficking,true,Tech,314,10.5,124.401(1)(c)(3),C Felony,Drug,Trafficking,High
White,Male,44,Mount Pleasant Correctional Facility,Prison,2021,2024,07/17/2019,10/01/2020,14,Parole Granted,20517631,D Felony,Drug,Drug Possession,true,Tech,644,21.5,124.401(5)(c),D Felony,Drug,Drug Possession,High
Black,Male,48,Iowa Medical & Classification Center,Prison,2021,2024,07/14/2017,06/10/2021,46,Parole Granted,20322787,D Felony,Public Order,OWI,true,New Charge,806,26.9,124.401(1)(c)(2)(b),C Felony,Drug,Trafficking,Moderate
Black,Male,43,Clarinda Correctional Facility,Work Release,2021,2024,05/06/2021,05/25/2021,0,Parole Granted,138595,B Felony,Violent,Robbery,false,,,,,,,,High
White,Male,44,Anamosa State Penitentiary,Prison,2021,2024,08/15/2019,05/23/2021,21,Discharged - Expiration of Sentence,20515440,D Felony,Property,Theft,true,New Charge,572,19.1,711.3,C Felony,Violent,Robbery,Low
White,Female,44,Iowa Correctional Institution for Women,Prison,2021,2024,04/16/2020,08/20/2020,4,Parole Granted,20555744,Aggravated Misdemeanor,Drug,Drug Possession,false,,,,,,,,Low
White,Male,53,Mount Pleasant Correctional Facility,Prison,2021,2024,05/13/2020,06/18/2021,13,Discharged - Expiration of Sentence,20380378,D Felony,Public Order,OWI,false,,,,,,,,Low
White,Male,47,Newton Correctional Facility,Prison,2021,2024,10/18/2019,07/31/2020,9,Parole Granted,20499697,Aggravated Misdemeanor,Violent,Sex,false,,,,,,,,Low
Black,Male,51,Newton Correctional Facility,Prison,2021,2024,12/02/2019,10/12/2020,10,Parole Granted,20535536,D Felony,Property,Theft,true,New Charge,388,12.9,714.2(2),D Felony,Property,Theft,High
White,Male,55,Mount Pleasant Correctional Facility,Work Release,2021,2024,04/22/2020,02/16/2021,9,Discharged - Expiration of Sentence,20522332,D Felony,Violent,Assault,false,,,,,,,,Low
White,Male,55,Mount Pleasant Correctional Facility,Work Release,2021,2024,12/29/2020,04/27/2021,3,Parole Granted,20468453,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,45,Mount Pleasant Correctional Facility,Prison,2021,2024,09/24/2019,12/07/2020,14,Parole Granted,20182537,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,45,Mount Pleasant Correctional Facility,Prison,2021,2024,08/19/2020,01/30/2021,5,Discharged - Expiration of Sentence,20293331,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,61,Fort Dodge Correctional Facility,Prison,2021,2024,01/24/2019,07/22/2020,17,Parole Granted,20501064,D Felony,Violent,Assault,false,,,,,,,,High
White,Male,45,Newton Correctional Facility,Prison,2021,2024,08/20/2020,11/13/2020,2,Paroled w/Immediate Discharge,20367104,Aggravated Misdemeanor,Public Order,Traffic,false,,,,,,,,
Black,Male,45,North Central Correctional Facility,Prison,2021,2024,10/23/2019,09/16/2020,10,Discharged - Expiration of Sentence,20444289,D Felony,Property,Burglary,false,,,,,,,,High
White,Male,50,Mount Pleasant Correctional Facility,Prison,2021,2024,05/13/2020,11/26/2020,6,Discharged - Expiration of Sentence,20448136,Aggravated Misdemeanor,Public Order,OWI,false,,,,,,,,Low
White,Female,44,Iowa Correctional Institution for Women,Prison,2021,2024,01/02/2020,09/11/2020,8,Parole Granted,20447095,D Felony,Violent,Assault,true,Tech,83,2.8,726.6(6),D Felony,Violent,Assault,High
White,Male,42,Mount Pleasant Correctional Facility,Prison,2021,2024,09/12/2019,08/28/2020,11,Parole Granted,20525531,C Felony,Property,Theft,false,,,,,,,,High
Black,Female,43,Iowa Correctional Institution for Women,Prison,2021,2024,12/02/2019,07/07/2020,7,Parole Granted,20520031,D Felony,Property,Forgery/Fraud,true,Tech,367,12.2,715A.2(2)(a),D Felony,Property,Forgery/Fraud,Moderate
White,Male,49,Newton Correctional Facility,Prison,2021,2024,04/30/2019,02/02/2021,21,Parole Granted,20480441,D Felony,Violent,Sex,false,,,,,,,,
White,Male,44,Fort Dodge Correctional Facility,Prison,2021,2024,04/30/2020,06/18/2021,13,Paroled to Detainer - Iowa,20518737,D Felony,Drug,Drug Possession,false,,,,,,,,High
White,Male,46,Newton Correctional Facility,Work Release,2021,2024,04/24/2020,07/09/2020,2,Parole Granted,20508396,C Felony,Property,Theft,false,,,,,,,,Low
White,Male,65,Newton Correctional Facility,Prison,2021,2024,05/29/2012,01/09/2021,103,Released to Special Sentence,20171373,C Felony,Violent,Sex,false,,,,,,,,
White,Male,46,Mount Pleasant Correctional Facility,Prison,2021,2024,02/27/2020,01/15/2021,10,Parole Granted,20479037,D Felony,Property,Forgery/Fraud,false,,,,,,,,High
White,Male,44,Clarinda Correctional Facility,Prison,2021,2024,06/17/2019,02/16/2021,19,Paroled to Detainer - Iowa,20514010,C Felony,Drug,Trafficking,false,,,,,,,,High
White,Male,49,Mount Pleasant Correctional Facility,Prison,2021,2024,04/30/2020,05/05/2021,12,Parole Granted,20436467,D Felony,Property,Forgery/Fraud,false,,,,,,,,Low
White,Male,47,Mount Pleasant Correctional Facility,Work Release,2021,2024,09/30/2020,03/05/2021,5,Parole Granted,20422923,D Felony,Property,Burglary,false,,,,,,,,Low
White,Male,45,Fort Dodge Correctional Facility,Prison,2021,2024,02/12/2019,03/07/2021,24,Discharged - Expiration of Sentence,20496897,D Felony,Public Order,OWI,false,,,,,,,,Low
White,Male,68,Newton Correctional Facility,Prison,2021,2024,07/19/2019,08/18/2020,12,Parole Granted,20360316,D Felony,Public Order,Weapons,false,,,,,,,,High
White,Female,44,Iowa Correctional Institution for Women,Work Release,2021,2024,11/23/2020,03/22/2021,3,Parole Granted,20488753,D Felony,Property,Forgery/Fraud,true,Tech,233,7.8,715A.2(2)(a),D Felony,Property,Forgery/Fraud,Low
White,Male,44,Newton Correctional Facility,Prison,2021,2024,02/26/2020,04/20/2021,13,Parole Granted,20546788,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Female,44,Iowa Correctional Institution for Women,Prison,2021,2024,08/22/2017,02/15/2021,41,Parole Granted,20421132,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,Low
White,Female,47,Iowa Correctional Institution for Women,Prison,2021,2024,06/11/2020,02/12/2021,8,Parole Granted,20557280,D Felony,Drug,Drug Possession,false,,,,,,,,Low
White,Male,45,Fort Dodge Correctional Facility,Prison,2021,2024,12/02/2019,08/11/2020,8,Parole Granted,878419,B Felony,Drug,Trafficking,false,,,,,,,,High
White,Male,44,North Central Correctional Facility,Prison,2021,2024,07/23/2018,04/06/2021,32,Parole Granted,20467839,B Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,47,Newton Correctional Facility,Prison,2021,2024,10/09/2019,11/12/2020,13,Parole Granted,20464728,D Felony,Property,Burglary,false,,,,,,,,High
White,Male,44,Mount Pleasant Correctional Facility,Work Release,2021,2024,04/02/2020,09/17/2020,5,Parole Granted,20395936,C Felony,Violent,Other Violent,true,Tech,54,1.8,726.3,C Felony,Violent,Other Violent,Low
White,Male,42,Mount Pleasant Correctional Facility,Work Release,2021,2024,04/13/2020,08/31/2020,4,Discharged - Expiration of Sentence,20264616,Aggravated Misdemeanor,Drug,Drug Possession,false,,,,,,,,High
White,Male,44,Mount Pleasant Correctional Facility,Prison,2021,2024,01/25/2021,04/16/2021,2,Discharged - Expiration of Sentence,20539844,Aggravated Misdemeanor,Drug,Drug Possession,false,,,,,,,,Low
White,Male,44,Mount Pleasant Correctional Facility,Prison,2021,2024,01/31/2020,01/08/2021,11,Parole Granted,20488228,D Felony,Drug,Drug Possession,false,,,,,,,,High
Black,Male,49,Fort Dodge Correctional Facility,Prison,2021,2024,11/18/2019,07/18/2020,8,Discharged - Expiration of Sentence,731249,B Felony,Violent,Sex,false,,,,,,,,
White,Female,46,Districts/Compact Regions,Prison,2021,2024,04/08/2020,12/02/2020,7,Paroled w/Immediate Discharge,20485295,Aggravated Misdemeanor,Property,Theft,false,,,,,,,,
White,Female,51,Iowa Correctional Institution for Women,Prison,2021,2024,08/17/2017,07/09/2020,34,Paroled to Detainer - U.S. Marshall,20413643,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,Low
White,Male,44,North Central Correctional Facility,Prison,2021,2024,09/13/2013,11/17/2020,86,Parole Granted,20229412,B Felony,Other,Other Criminal,false,,,,,,,,High
White,Male,44,Mount Pleasant Correctional Facility,Work Release,2021,2024,10/27/2020,01/15/2021,2,Parole Granted,20527557,C Felony,Drug,Trafficking,false,,,,,,,,High
White,Male,44,Newton Correctional Facility,Prison,2021,2024,06/29/2017,09/23/2020,38,Parole Granted,20362486,C Felony,Violent,Sex,false,,,,,,,,
White,Male,44,Newton Correctional Facility,Prison,2021,2024,04/09/2013,12/08/2020,91,Parole Granted,20219626,C Felony,Violent,Sex,false,,,,,,,,
White,Male,42,Anamosa State Penitentiary,Prison,2021,2024,04/15/2019,08/20/2020,16,Parole Granted,20506103,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,New Charge,342,11.4,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Male,43,Anamosa State Penitentiary,Work Release,2021,2024,03/09/2020,09/14/2020,6,Parole Granted,20418388,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,Low
Black,Male,49,Mount Pleasant Correctional Facility,Work Release,2021,2024,05/05/2020,08/10/2020,3,Parole Granted,20365782,B Felony,Drug,Trafficking,true,Tech,528,17.6,124.401(1)(b)(7),B Felony,Drug,Trafficking,High
White,Male,43,Clarinda Correctional Facility,Prison,2021,2024,10/21/2019,07/31/2020,9,Parole Granted,20346351,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,Low
White,Male,60,Anamosa State Penitentiary,Work Release,2021,2024,11/25/2019,11/20/2020,11,Parole Granted,20351041,D Felony,Public Order,Other Public Order,true,Tech,826,27.5,692A.111-B,D Felony,Public Order,Other Public Order,
White,Male,47,Mount Pleasant Correctional Facility,Prison,2021,2024,07/08/2019,09/01/2020,13,Parole Granted,20473919,D Felony,Public Order,Weapons,false,,,,,,,,Low
White,Male,43,Mount Pleasant Correctional Facility,Prison,2021,2024,11/20/2018,02/17/2021,26,Discharged - Expiration of Sentence,20493393,D Felony,Public Order,Traffic,false,,,,,,,,High
White,Female,46,Iowa Correctional Institution for Women,Prison,2021,2024,02/13/2020,05/05/2021,14,Paroled to Detainer - Out of State,20448448,D Felony,Drug,Drug Possession,true,Tech,1006,33.5,124.401(5)(c),D Felony,Drug,Drug Possession,Low
White,Male,45,Newton Correctional Facility,Prison,2021,2024,09/08/2015,10/19/2020,61,Released to Special Sentence,20323692,C Felony,Violent,Sex,false,,,,,,,,
White,Male,44,Mount Pleasant Correctional Facility,Work Release,2021,2024,02/16/2021,05/03/2021,2,Parole Granted,900086,B Felony,Drug,Trafficking,true,Tech,324,10.8,124.401(1)(b)(7),B Felony,Drug,Trafficking,High
White,Male,42,Fort Dodge Correctional Facility,Prison,2021,2024,08/12/2020,04/08/2021,7,Parole Granted,20498013,D Felony,Public Order,Weapons,false,,,,,,,,High
Black,Male,43,Fort Dodge Correctional Facility,Prison,2021,2024,09/20/2019,05/11/2021,19,Parole Granted,866497,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,High
Black,Female,45,Iowa Correctional Institution for Women,Prison,2021,2024,12/16/2019,12/21/2020,12,Parole Granted,20519128,D Felony,Property,Forgery/Fraud,false,,,,,,,,High
Hispanic,Male,43,Fort Dodge Correctional Facility,Prison,2021,2024,03/09/2020,01/15/2021,10,Discharged - Expiration of Sentence,20266436,D Felony,Drug,Drug Possession,false,,,,,,,,Low
White,Male,61,Mount Pleasant Correctional Facility,Prison,2021,2024,06/10/2019,04/21/2021,22,Parole Granted,20432916,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,High
Black,Male,48,Newton Correctional Facility,Prison,2021,2024,01/27/2020,06/02/2021,16,Parole Granted,20524595,D Felony,Public Order,OWI,false,,,,,,,,Low
White,Male,43,Mount Pleasant Correctional Facility,Prison,2021,2024,02/21/2020,11/03/2020,8,Parole Granted,20312075,D Felony,Property,Theft,false,,,,,,,,Low
White,Female,43,Iowa Correctional Institution for Women,Work Release,2021,2024,10/19/2020,01/04/2021,2,Parole Granted,833758,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,Low
White,Male,43,Mount Pleasant Correctional Facility,Prison,2021,2024,09/09/2019,10/26/2020,13,Parole Granted,20524768,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,High
Black,Male,49,Mount Pleasant Correctional Facility,Work Release,2021,2024,01/28/2021,05/13/2021,3,Parole Granted,20220540,C Felony,Drug,Trafficking,true,New Charge,467,15.6,124.401(1)(c)(7),C Felony,Drug,Trafficking,High
White,Female,41,Iowa Correctional Institution for Women,Prison,2021,2024,03/23/2020,07/01/2020,3,Parole Granted,20264796,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,New Charge,1063,35.4,124.411,Felony - Enhancement to Original Penalty,Drug,Trafficking,Moderate
White,Male,43,Fort Dodge Correctional Facility,Prison,2021,2024,08/16/2019,08/03/2020,11,Parole Granted,20111949,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,High
White,Male,43,Mount Pleasant Correctional Facility,Prison,2021,2024,02/17/2020,06/09/2021,15,Parole Granted,20545500,D Felony,Violent,Assault,false,,,,,,,,High
White,Male,44,Mount Pleasant Correctional Facility,Prison,2021,2024,02/25/2020,05/05/2021,14,Parole Granted,20412122,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,New Charge,762,25.4,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Male,43,Districts/Compact Regions,Prison,2021,2024,06/04/2020,12/03/2020,5,Discharged - Expiration of Sentence,865009,Aggravated Misdemeanor,Property,Vandalism,false,,,,,,,,
White,Male,58,Newton Correctional Facility,Prison,2021,2024,02/20/2020,10/27/2020,8,Parole Granted,20285659,C Felony,Drug,Trafficking,true,Tech,520,17.3,124.401(1)(c)(8),C Felony,Drug,Trafficking,Low
Black,Male,41,Mount Pleasant Correctional Facility,Prison,2021,2024,06/25/2019,07/31/2020,13,Parole Granted,20355347,C Felony,Property,Burglary,true,Tech,308,10.3,713.5,C Felony,Property,Burglary,High
White,Male,43,North Central Correctional Facility,Prison,2021,2024,02/04/2020,02/10/2021,12,Parole Granted,20356253,D Felony,Drug,Drug Possession,false,,,,,,,,High
Hispanic,Male,41,Mount Pleasant Correctional Facility,Prison,2021,2024,01/28/2020,07/27/2020,5,Discharged - Expiration of Sentence,20326507,D Felony,Drug,Drug Possession,true,New Charge,225,7.5,714.7,Aggravated Misdemeanor,Property,Theft,High
White,Male,45,Newton Correctional Facility,Prison,2021,2024,07/09/2010,08/25/2020,121,Parole Granted,20009808,B Felony,Violent,Other Violent,false,,,,,,,,Low
Black,Male,46,Mount Pleasant Correctional Facility,Prison,2021,2024,08/30/2019,09/21/2020,12,Discharged - Expiration of Sentence,20296726,C Felony,Drug,Trafficking,false,,,,,,,,High
White,Male,41,North Central Correctional Facility,Prison,2021,2024,01/08/2020,10/30/2020,9,Parole Granted,20349492,C Felony,Drug,Trafficking,false,,,,,,,,High
White,Male,60,Newton Correctional Facility,Prison,2021,2024,05/28/2013,09/15/2020,87,Paroled to Detainer - U.S. Marshall,20218733,C Felony,Violent,Sex,false,,,,,,,,
Black,Male,42,Anamosa State Penitentiary,Prison,2021,2024,10/28/2020,02/19/2021,3,Discharged - Expiration of Sentence,20160860,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,High
White,Male,56,Newton Correctional Facility,Prison,2021,2024,12/05/2019,05/15/2021,17,Released to Special Sentence,20536906,Aggravated Misdemeanor,Other,Other Criminal,false,,,,,,,,Moderate
White,Male,54,Fort Dodge Correctional Facility,Work Release,2021,2024,08/27/2020,11/20/2020,2,Parole Granted,20492611,D Felony,Property,Burglary,false,,,,,,,,High
Black,Male,41,Iowa Medical & Classification Center,Work Release,2021,2024,06/30/2020,09/02/2020,2,Parole Granted,20080219,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,614,20.5,"902.8,A",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Male,44,Mount Pleasant Correctional Facility,Work Release,2021,2024,12/14/2020,01/08/2021,0,Parole Granted,20032763,B Felony,Drug,Trafficking,true,New Charge,705,23.5,124.401(1)(c)(6),C Felony,Drug,Trafficking,Moderate
American Indian or Alaska Native,Male,47,Iowa Medical & Classification Center,Prison,2021,2024,10/02/2019,08/11/2020,10,Parole Granted,20183842,Felony - Enhancement to Original Penalty,Drug,Trafficking,true,New Charge,783,26.1,124.411,Felony - Enhancement to Original Penalty,Drug,Trafficking,High
White,Female,42,Iowa Correctional Institution for Women,Work Release,2021,2024,06/29/2020,03/24/2021,8,Parole Granted,20454853,D Felony,Property,Theft,true,Tech,442,14.7,714.2(2),D Felony,Property,Theft,High
White,Male,47,Mount Pleasant Correctional Facility,Prison,2021,2024,12/30/2019,10/21/2020,9,Parole Granted,20366628,D Felony,Public Order,OWI,true,New Charge,566,18.9,321J.2(C),D Felony,Public Order,OWI,Low
White,Male,44,Newton Correctional Facility,Prison,2021,2024,10/28/2019,06/14/2021,19,Parole Granted,20533600,D Felony,Violent,Assault,false,,,,,,,,Low
White,Male,42,Mount Pleasant Correctional Facility,Prison,2021,2024,10/31/2019,11/09/2020,12,Parole Granted,652717,C Felony,Drug,Trafficking,true,Tech,528,17.6,124.401(1)(c)(6),C Felony,Drug,Trafficking,High
White,Female,43,Iowa Correctional Institution for Women,Work Release,2021,2024,02/08/2021,05/03/2021,2,Parole Granted,20461583,D Felony,Property,Forgery/Fraud,true,Tech,56,1.9,124.401(5)(c),D Felony,Drug,Drug Possession,Moderate
Black,Male,42,Iowa Medical & Classification Center,Prison,2021,2024,03/05/2020,01/27/2021,10,Parole Granted,20196935,B Felony,Drug,Trafficking,true,Tech,203,6.8,124.401(1)(b)(7),B Felony,Drug,Trafficking,High
White,Male,41,Iowa Medical & Classification Center,Work Release,2021,2024,06/04/2020,09/11/2020,3,Parole Granted,20158887,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,56,1.9,"902.8,A",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Male,42,Newton Correctional Facility,Prison,2021,2024,01/24/2019,04/14/2021,26,Paroled to Detainer - Iowa,20434360,D Felony,Violent,Sex,true,New Charge,930,31.0,709.8(1),C Felony,Violent,Sex,
White,Male,42,Iowa Medical & Classification Center,Work Release,2021,2024,02/28/2020,09/11/2020,6,Parole Granted,20468789,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,High
White,Male,42,North Central Correctional Facility,Prison,2021,2024,04/17/2020,01/05/2021,8,Parole Granted,20521656,D Felony,Drug,Drug Possession,true,Tech,119,4.0,124.401(5)(c),D Felony,Drug,Drug Possession,High
Black,Female,42,Iowa Correctional Institution for Women,Work Release,2021,2024,06/22/2020,12/10/2020,5,Parole Granted,20470235,Aggravated Misdemeanor,Drug,Drug Possession,false,,,,,,,,Low
White,Male,42,Mount Pleasant Correctional Facility,Prison,2021,2024,02/25/2019,09/09/2020,18,Parole Granted,20454842,D Felony,Property,Forgery/Fraud,true,Tech,343,11.4,715A.2(2)(a),D Felony,Property,Forgery/Fraud,High
Black,Male,43,Mount Pleasant Correctional Facility,Work Release,2021,2024,08/20/2020,01/04/2021,4,Parole Granted,20319663,D Felony,Public Order,Other Public Order,false,,,,,,,,Low
Black,Male,46,Mount Pleasant Correctional Facility,Work Release,2021,2024,03/04/2020,09/18/2020,6,Parole Granted,20466084,D Felony,Public Order,OWI,false,,,,,,,,High
White,Male,42,North Central Correctional Facility,Work Release,2021,2024,12/23/2020,05/25/2021,5,Parole Granted,425594,A Felony,Violent,Murder/Manslaughter,false,,,,,,,,Low
White,Female,43,Iowa Correctional Institution for Women,Work Release,2021,2024,06/10/2020,12/17/2020,6,Parole Granted,20365241,B Felony,Drug,Trafficking,true,Tech,510,17.0,124.401(1)(b)(7),B Felony,Drug,Trafficking,Low
White,Male,43,Clarinda Correctional Facility,Prison,2021,2024,10/26/2020,06/01/2021,7,Discharged - Expiration of Sentence,20552762,Aggravated Misdemeanor,Property,Burglary,false,,,,,,,,High
White,Male,55,Iowa Medical & Classification Center,Prison,2021,2024,07/25/2019,07/07/2020,11,Paroled w/Immediate Discharge,734486,B Felony,Drug,Trafficking,true,New Charge,833,27.8,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Male,41,North Central Correctional Facility,Prison,2021,2024,09/30/2019,07/15/2020,9,Parole Granted,20055211,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,Low
Black,Male,42,Iowa Medical & Classification Center,Prison,2021,2024,08/24/2018,01/26/2021,29,Parole Granted,20466598,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,321,10.7,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Male,42,Mount Pleasant Correctional Facility,Work Release,2021,2024,09/04/2020,12/17/2020,3,Parole Granted,20373221,C Felony,Drug,Trafficking,false,,,,,,,,High
White,Male,54,Newton Correctional Facility,Prison,2021,2024,03/09/2020,02/23/2021,11,Parole Granted,20488817,D Felony,Drug,Drug Possession,true,New Charge,857,28.6,124.401(5)(c),D Felony,Drug,Drug Possession,Low
